zip,latitude,longitude,city,stateCode,state,county,country,countryCodeIso2,countryCodeIso3,type
35570,34.1646,-87.99501,Hamilton,AL,Alabama,Marion,United State Of America,US,USA,Location
35571,34.35605,-87.95001,Hodges,AL,Alabama,Franklin,United State Of America,US,USA,Location
35572,34.20366,-87.29647,Houston,AL,Alabama,Winston,United State Of America,US,USA,Location
35574,33.56503,-87.95048,Kennedy,AL,Alabama,Fayette,United State Of America,US,USA,Location
35575,34.04293,-87.57845,Lynn,AL,Alabama,Winston,United State Of America,US,USA,Location
35576,33.57923,-88.13129,Millport,AL,Alabama,Lamar,United State Of America,US,USA,Location
35577,34.10237,-87.62001,Natural Bridge,AL,Alabama,Winston,United State Of America,US,USA,Location
35578,33.98434,-87.46614,Nauvoo,AL,Alabama,Walker,United State Of America,US,USA,Location
35579,33.63662,-87.35619,Oakman,AL,Alabama,Walker,United State Of America,US,USA,Location
35580,33.67376,-87.26448,Parrish,AL,Alabama,Walker,United State Of America,US,USA,Location
35581,34.35851,-87.71319,Phil Campbell,AL,Alabama,Franklin,United State Of America,US,USA,Location
35582,34.48839,-88.09439,Red Bay,AL,Alabama,Franklin,United State Of America,US,USA,Location
35584,33.82199,-87.08699,Sipsey,AL,Alabama,Walker,United State Of America,US,USA,Location
35585,34.41687,-87.80985,Spruce Pine,AL,Alabama,Franklin,United State Of America,US,USA,Location
35586,33.87665,-88.13869,Sulligent,AL,Alabama,Lamar,United State Of America,US,USA,Location
35587,33.80054,-87.45393,Townley,AL,Alabama,Walker,United State Of America,US,USA,Location
35592,33.74629,-88.08439,Vernon,AL,Alabama,Lamar,United State Of America,US,USA,Location
35593,34.34976,-88.08015,Vina,AL,Alabama,Franklin,United State Of America,US,USA,Location
35594,33.92969,-87.77212,Winfield,AL,Alabama,Marion,United State Of America,US,USA,Location
35601,34.60907,-87.01333,Decatur,AL,Alabama,Morgan,United State Of America,US,USA,Location
35603,34.5375,-86.96675,Decatur,AL,Alabama,Morgan,United State Of America,US,USA,Location
